name,slug,value,date_of_information,ranking,region
"Burkina Faso","burkina-faso","-3.20","2019 est.","1","Africa"
"Niger","niger","-2.50","2019 est.","2","Africa"
"Saudi Arabia","saudi-arabia","-2.00","2019 est.","3","Middle East"
"United Arab Emirates","united-arab-emirates","-1.90","2019 est.","4","Middle East"
"Cote d'Ivoire","cote-divoire","-1.10","2019 est.","5","Africa"
"Andorra","andorra","-0.90","2015 est.","6","Europe"
"Chad","chad","-0.90","2019 est.","7","Africa"
"Benin","benin","-0.80","2019 est.","8","Africa"
"Senegal","senegal","-0.80","2019 est.","9","Africa"
"Burundi","burundi","-0.60","2019 est.","10","Africa"
"Qatar","qatar","-0.60","2019 est.","11","Middle East"
"American Samoa","american-samoa","-0.50","2015 est.","12","Australia and Oceania"
"Aruba","aruba","-0.50","2017 est.","13","Central America and the Caribbean"
"Liechtenstein","liechtenstein","-0.40","2016 est.","14","Europe"
"Faroe Islands","faroe-islands","-0.30","2016","15","Europe"
"Brunei","brunei","-0.20","2017 est.","16","East and Southeast Asia"
"Iraq","iraq","-0.10","2019 est.","17","Middle East"
"Serbia","serbia","-0.10","2019 est.","18","Europe"
"El Salvador","el-salvador","0.00","2019 est.","19","Central America and the Caribbean"
"French Polynesia","french-polynesia","0.00","2015 est.","20","Australia and Oceania"
"Marshall Islands","marshall-islands","0.00","2017 est.","21","Australia and Oceania"
"Saint Kitts and Nevis","saint-kitts-and-nevis","0.00","2017 est.","22","Central America and the Caribbean"
"Oman","oman","0.10","2019 est.","23","Middle East"
"Saint Lucia","saint-lucia","0.10","2017 est.","24","Central America and the Caribbean"
"Cyprus","cyprus","0.20","2019 est.","25","Europe"
"Ecuador","ecuador","0.20","2019 est.","26","South America"
"Gaza Strip","gaza-strip","0.20","2017 est.","27","Middle East"
"Greece","greece","0.20","2019 est.","28","Europe"
"Guinea-Bissau","guinea-bissau","0.20","2019 est.","29","Africa"
"Morocco","morocco","0.20","2019 est.","30","Africa"
"West Bank","west-bank","0.20","2017 est.","31","Middle East"
"Greenland","greenland","0.30","January 2017 est.","32","North America"
"Jordan","jordan","0.30","2019 est.","33","Middle East"
"Korea, South","korea-south","0.30","2019 est.","34","East and Southeast Asia"
"Montenegro","montenegro","0.30","2019 est.","35","Europe"
