Rank,Country,col1
1,Solomon Islands,2018 est. 20.27
2,Liberia,2018 est. 13.27
3,Burundi,2018 est. 10.31
4,Guinea-Bissau,2018 est. 9.24
5,Central African Republic,2018 est. 8.99
6,"Congo, Democratic Republic of the",2018 est. 8.72
7,Uganda,2018 est. 7.32
8,Sierra Leone,2018 est. 6.92
9,Mozambique,2018 est. 6.46
10,Malawi,2018 est. 6.19
11,Ethiopia,2018 est. 5.81
12,Guinea,2018 est. 4.81
13,Guyana,2018 est. 4.56
14,Burkina Faso,2018 est. 4.54
15,Zambia,2018 est. 4.45
16,Niger,2018 est. 4.41
17,Madagascar,2018 est. 4.34
18,Togo,2018 est. 3.96
19,Chad,2018 est. 3.81
20,Rwanda,2018 est. 3.75
21,Ghana,2018 est. 3.51
22,Lesotho,2018 est. 3.34
23,"Congo, Republic of the",2018 est. 3.17
24,Sudan,2018 est. 3.01
25,South Sudan,2015 est. 2.65
26,Gabon,2018 est. 2.60
27,Cameroon,2018 est. 2.50
28,"Gambia, The",2018 est. 2.47
29,Suriname,2018 est. 2.36
30,Eswatini,2018 est. 2.25
31,Benin,2018 est. 2.24
32,Tanzania,2018 est. 2.19
33,Papua New Guinea,2018 est. 2.08
34,Cote d'Ivoire,2016 est. 2.04
35,Mali,2018 est. 2.02
36,Sao Tome and Principe,2018 est. 1.90
37,Bhutan,2018 est. 1.89
38,Burma,2018 est. 1.69
39,Zimbabwe,2018 est. 1.61
40,Malaysia,2018 est. 1.57
41,Uruguay,2018 est. 1.56
42,Equatorial Guinea,2018 est. 1.52
43,Vietnam,2018 est. 1.49
44,Laos,2018 est. 1.48
45,Senegal,2018 est. 1.46
46,Comoros,2018 est. 1.39
47,Kenya,2018 est. 1.30
48,Mauritania,2018 est. 1.30
49,Nicaragua,2018 est. 1.26
50,Paraguay,2018 est. 1.21
51,Tajikistan,2018 est. 1.12
52,Belarus,2018 est. 1.02
53,Nigeria,2018 est. 1.02
54,Honduras,2018 est. 0.91
55,Estonia,2018 est. 0.85
56,Latvia,2018 est. 0.85
57,Cambodia,2018 est. 0.84
58,Costa Rica,2018 est. 0.82
59,Guatemala,2018 est. 0.78
60,Haiti,2018 est. 0.68
61,Brazil,2018 est. 0.62
62,El Salvador,2018 est. 0.60
63,Fiji,2018 est. 0.59
64,Vanuatu,2018 est. 0.54
65,New Zealand,2018 est. 0.50
66,Bosnia and Herzegovina,2018 est. 0.49
67,Chile,2018 est. 0.49
68,Namibia,2018 est. 0.47
69,Nepal,2018 est. 0.45
70,Montenegro,2018 est. 0.43
71,Indonesia,2018 est. 0.39
72,Cabo Verde,2018 est. 0.38
73,Serbia,2018 est. 0.38
74,Angola,2018 est. 0.36
75,Finland,2018 est. 0.36
76,Thailand,2018 est. 0.34
77,Ukraine,2018 est. 0.34
78,Bolivia,2018 est. 0.33
79,Belize,2018 est. 0.31
80,Lithuania,2018 est. 0.31
81,Russia,2018 est. 0.29
82,Armenia,2018 est. 0.28
83,Ecuador,2018 est. 0.27
84,Samoa,2018 est. 0.27
85,Croatia,2018 est. 0.26
86,Djibouti,2018 est. 0.26
87,Moldova,2018 est. 0.26
88,Botswana,2018 est. 0.23
89,Bulgaria,2018 est. 0.22
90,Slovakia,2018 est. 0.22
91,Sweden,2018 est. 0.21
92,Tunisia,2018 est. 0.21
93,Afghanistan,2018 est. 0.20
94,Slovenia,2018 est. 0.20
95,Albania,2018 est. 0.18
96,Philippines,2018 est. 0.18
97,Czechia,2017 est. 0.17
98,Poland,2018 est. 0.17
99,Romania,2018 est. 0.16
100,Egypt,2018 est. 0.15
101,Jamaica,2018 est. 0.15
102,North Macedonia,2018 est. 0.15
103,India,2018 est. 0.14
104,Mongolia,2018 est. 0.14
105,Australia,2018 est. 0.13
106,Morocco,2018 est. 0.13
107,Portugal,2018 est. 0.13
108,Timor-Leste,2018 est. 0.13
109,Peru,2018 est. 0.12
110,Algeria,2018 est. 0.10
111,Colombia,2018 est. 0.10
112,Hungary,2018 est. 0.10
113,Mexico,2018 est. 0.10
114,Pakistan,2018 est. 0.10
115,Argentina,2018 est. 0.09
116,Seychelles,2018 est. 0.09
117,Bangladesh,2018 est. 0.08
118,Canada,2018 est. 0.08
119,China,2018 est. 0.08
120,Panama,2018 est. 0.08
121,Turkey,2018 est. 0.08
122,Austria,2018 est. 0.07
123,Georgia,2018 est. 0.07
124,Cuba,2018 est. 0.06
125,Libya,2018 est. 0.06
126,Sri Lanka,2018 est. 0.06
127,Brunei,2018 est. 0.05
128,Norway,2018 est. 0.05
129,Trinidad and Tobago,2018 est. 0.05
130,Kiribati,2018 est. 0.04
131,United States,2018 est. 0.04
132,Yemen,2018 est. 0.04
133,Dominica,2018 est. 0.03
134,Dominican Republic,2018 est. 0.03
135,France,2018 est. 0.03
136,Germany,2018 est. 0.03
137,Tonga,2018 est. 0.03
138,Azerbaijan,2018 est. 0.02
139,Belgium,2018 est. 0.02
140,Denmark,2018 est. 0.02
141,Japan,2018 est. 0.02
142,Jordan,2018 est. 0.02
143,"Micronesia, Federated States of",2018 est. 0.02
144,Saint Vincent and the Grenadines,2018 est. 0.02
145,Spain,2018 est. 0.02
146,"Bahamas, The",2018 est. 0.01
147,Barbados,2018 est. 0.01
148,Greece,2018 est. 0.01
149,Iran,2017 est. 0.01
150,Ireland,2018 est. 0.01
151,Italy,2018 est. 0.01
152,"Korea, South",2018 est. 0.01
153,Kyrgyzstan,2018 est. 0.01
154,Luxembourg,2018 est. 0.01
155,Netherlands,2018 est. 0.01
156,Saint Lucia,2018 est. 0.01
157,Switzerland,2018 est. 0.01
158,United Kingdom,2018 est. 0.01
159,American Samoa,2018 est. 0.00
160,Andorra,2018 est. 0.00
161,Antigua and Barbuda,2018 est. 0.00
162,Aruba,2017 est. 0.00
163,Bahrain,2018 est. 0.00
164,Cayman Islands,2018 est. 0.00
165,Curacao,2018 est. 0.00
166,Cyprus,2018 est. 0.00
167,Faroe Islands,2017 est. 0.00
168,Gaza Strip,2018 est. 0.00
169,Greenland,2018 est. 0.00
170,Grenada,2018 est. 0.00
171,Guam,2018 est. 0.00
172,Hong Kong,2018 est. 0.00
173,Iceland,2018 est. 0.00
174,Iraq,2018 est. 0.00
175,Isle of Man,2017 est. 0.00
176,Israel,2018 est. 0.00
177,Kazakhstan,2018 est. 0.00
178,Kosovo,2018 est. 0.00
179,Kuwait,2018 est. 0.00
180,Lebanon,2018 est. 0.00
181,Liechtenstein,2017 est. 0.00
182,Macau,2018 est. 0.00
183,Maldives,2018 est. 0.00
184,Malta,2018 est. 0.00
185,Marshall Islands,2018 est. 0.00
186,Mauritius,2018 est. 0.00
187,Monaco,2018 est. 0.00
188,Nauru,2018 est. 0.00
189,Northern Mariana Islands,2018 est. 0.00
190,Oman,2018 est. 0.00
191,Palau,2018 est. 0.00
192,Puerto Rico,2018 est. 0.00
193,Qatar,2018 est. 0.00
194,Saint Kitts and Nevis,2018 est. 0.00
195,San Marino,2018 est. 0.00
196,Saudi Arabia,2018 est. 0.00
197,Singapore,2018 est. 0.00
198,Turkmenistan,2018 est. 0.00
199,Turks and Caicos Islands,2018 est. 0.00
200,Tuvalu,2018 est. 0.00
201,United Arab Emirates,2018 est. 0.00
202,Uzbekistan,2018 est. 0.00
203,Virgin Islands,2017 est. 0.00
204,West Bank,2018 est. 0.00
