name,slug,value,date_of_information,ranking,region
"United States","united-states","20,300,000","2017 est.","1","North America"
"China","china","11,510,000","2015 est.","2","East and Southeast Asia"
"Russia","russia","6,076,000","2015 est.","3","Central Asia"
"India","india","4,897,000","2015 est.","4","South Asia"
"Japan","japan","3,467,000","2017 est.","5","East and Southeast Asia"
"Korea, South","korea-south","3,302,000","2017 est.","6","East and Southeast Asia"
"Brazil","brazil","2,811,000","2015 est.","7","South America"
"Saudi Arabia","saudi-arabia","2,476,000","2015 est.","8","Middle East"
"Germany","germany","2,158,000","2017 est.","9","Europe"
"Canada","canada","2,009,000","2017 est.","10","North America"
"Iran","iran","1,764,000","2015 est.","11","Middle East"
"Italy","italy","1,607,000","2017 est.","12","Europe"
"Spain","spain","1,361,000","2017 est.","13","Europe"
"Thailand","thailand","1,328,000","2015 est.","14","East and Southeast Asia"
"France","france","1,311,000","2017 est.","15","Europe"
"United Kingdom","united-kingdom","1,290,000","2017 est.","16","Europe"
"Netherlands","netherlands","1,282,000","2017 est.","17","Europe"
"Indonesia","indonesia","950,000","2015 est.","18","East and Southeast Asia"
"United Arab Emirates","united-arab-emirates","943,500","2017 est.","19","Middle East"
"Venezuela","venezuela","926,300","2015 est.","20","South America"
"Taiwan","taiwan","924,000","2015 est.","21","East and Southeast Asia"
"Kuwait","kuwait","915,800","2015 est.","22","Middle East"
"Mexico","mexico","844,600","2017 est.","23","North America"
"Singapore","singapore","755,000","2015 est.","24","East and Southeast Asia"
"Belgium","belgium","731,700","2017 est.","25","Europe"
"Argentina","argentina","669,800","2015 est.","26","South America"
"Turkey (Turkiye)","turkey-turkiye","657,900","2017 est.","27","Middle East"
"Greece","greece","655,400","2017 est.","28","Europe"
"Algeria","algeria","627,900","2015 est.","29","Africa"
"Poland","poland","554,200","2017 est.","30","Europe"
"Egypt","egypt","547,500","2015 est.","31","Africa"
"Malaysia","malaysia","528,300","2015 est.","32","East and Southeast Asia"
"South Africa","south-africa","487,100","2015 est.","33","Africa"
"Belarus","belarus","477,200","2015 est.","34","Europe"
"Australia","australia","462,500","2017 est.","35","Australia and Oceania"
